	LGd	Chrna2	LP	LGv	Chrna3	Chrna1
Plec	95.99389584980247	25.469250370370382	63.01188021390376	63.99173333333335	28.74372142857143	23.598879999999998
Fat3	55.18785814196242	124.58340282258062	49.3099198717949	68.41533076923075	100.856482	151.38121014492765
Dnah5	24.006487500000002	0.7155	26.488016666666667	6.925800000000001	0.0	0.4083
Dnah8	9.939878571428574	18.366137499999997	4.778966666666666	0.5754	0.48546666666666666	41.8177
Huwe1	188.88890049407095	177.32507590361442	120.13815156249994	93.36933333333333	107.52282592592591	195.0034862068965
Dnhd1	23.396186501901145	32.51736145833332	21.377318072289157	21.93655	29.2053	36.30408444444444
Vps13d	63.68739950049957	38.233879166666675	49.582113095238064	23.33705833333333	31.840975	51.96708249999999
Abca13	9.673399999999999	2.0601	0.0	0.0	0.0	0.0
Dnah10	6.346530588235295	4.4269733333333345	5.812818181818183	16.89245	0.4663	6.171640000000001
Fat1	28.329542016806716	26.043729885057473	32.26149780219781	0.0	23.52328888888889	13.581396666666668
